SKU,Product_Name,Category,Variant,Family,Brand,Model,Size_ft,Diameter_in,Color,Type,Components_Included,MSRP_USD,Cost_USD,Weight_lb,Packaged_LxWxH_in,Vendor,Vendor_SKU,Tags,Handle,Status,Description_Short
"POOL-HS-072","Hastings Steel (Galvanized) Stock Tank — 6 ft","Pools","","POOL-HS","Hastings","", "6","72","Galvanized","Physical","Tank only","399","","95","74x74x26","Hastings","","pool,stock-tank","pool-hs-6ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HS-096","Hastings Steel (Galvanized) Stock Tank — 8 ft","Pools","","POOL-HS","Hastings","", "8","96","Galvanized","Physical","Tank only","599","","145","98x98x28","Hastings","","pool,stock-tank","pool-hs-8ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HS-120","Hastings Steel (Galvanized) Stock Tank — 10 ft","Pools","","POOL-HS","Hastings","", "10","120","Galvanized","Physical","Tank only","899","","220","122x122x28","Hastings","","pool,stock-tank","pool-hs-10ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HP-072","Hastings Poly Stock Tank — 6 ft","Pools","","POOL-HP","Hastings","", "6","72","Black","Physical","Tank only","449","","95","74x74x26","Hastings","","pool,stock-tank","pool-hp-6ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HP-096","Hastings Poly Stock Tank — 8 ft","Pools","","POOL-HP","Hastings","", "8","96","Black","Physical","Tank only","679","","145","98x98x28","Hastings","","pool,stock-tank","pool-hp-8ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HP-120","Hastings Poly Stock Tank — 10 ft","Pools","","POOL-HP","Hastings","", "10","120","Black","Physical","Tank only","999","","220","122x122x28","Hastings","","pool,stock-tank","pool-hp-10ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-GEN-072","Generic HDPE (Imported) Stock Tank — 6 ft","Pools","","POOL-GEN","Generic","", "6","72","Black","Physical","Tank only","349","","95","74x74x26","Various","","pool,stock-tank","pool-gen-6ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-GEN-096","Generic HDPE (Imported) Stock Tank — 8 ft","Pools","","POOL-GEN","Generic","", "8","96","Black","Physical","Tank only","549","","145","98x98x28","Various","","pool,stock-tank","pool-gen-8ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-GEN-120","Generic HDPE (Imported) Stock Tank — 10 ft","Pools","","POOL-GEN","Generic","", "10","120","Black","Physical","Tank only","799","","220","122x122x28","Various","","pool,stock-tank","pool-gen-10ft","draft","Heavy-duty stock tank for pool/spa conversion."
"COV-INF-072","Inflatable Thermal Cover — 6 ft","Covers","Inflatable","COV-INF","HeatHalo","", "6","72","Black","Physical","Cover/lid only","129","","5","24x24x10","In-house","","cover,lid,insulated","cov-inf-6ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-INF-096","Inflatable Thermal Cover — 8 ft","Covers","Inflatable","COV-INF","HeatHalo","", "8","96","Black","Physical","Cover/lid only","179","","5","24x24x10","In-house","","cover,lid,insulated","cov-inf-8ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-INF-120","Inflatable Thermal Cover — 10 ft","Covers","Inflatable","COV-INF","HeatHalo","", "10","120","Black","Physical","Cover/lid only","229","","5","24x24x10","In-house","","cover,lid,insulated","cov-inf-10ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-RIG-072","Rigid Insulated Lid — 6 ft","Covers","Rigid","COV-RIG","HeatHalo","", "6","72","Black","Physical","Cover/lid only","369","","18","38x38x6","In-house","","cover,lid,insulated","cov-rig-6ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-RIG-096","Rigid Insulated Lid — 8 ft","Covers","Rigid","COV-RIG","HeatHalo","", "8","96","Black","Physical","Cover/lid only","469","","18","38x38x6","In-house","","cover,lid,insulated","cov-rig-8ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-RIG-120","Rigid Insulated Lid — 10 ft","Covers","Rigid","COV-RIG","HeatHalo","", "10","120","Black","Physical","Cover/lid only","599","","18","38x38x6","In-house","","cover,lid,insulated","cov-rig-10ft","draft","Sized cover to retain heat and reduce evaporation."
"HH-BP-072-100","HeatHalo Base Pad — 6 ft","Insulation","Base Pad","HH-BP","HeatHalo","", "6","72","Black","Physical","XLPE pad laminated to recycled rubber anti-slip","149","","10","26x26x4","In-house","","insulation,base-pad","heathalo-base-pad-6ft","draft","Circular insulated base pad to reduce ground losses and add grip."
"HH-BP-096-100","HeatHalo Base Pad — 8 ft","Insulation","Base Pad","HH-BP","HeatHalo","", "8","96","Black","Physical","XLPE pad laminated to recycled rubber anti-slip","199","","14","34x34x4","In-house","","insulation,base-pad","heathalo-base-pad-8ft","draft","Circular insulated base pad to reduce ground losses and add grip."
"HH-BP-120-100","HeatHalo Base Pad — 10 ft","Insulation","Base Pad","HH-BP","HeatHalo","", "10","120","Black","Physical","XLPE pad laminated to recycled rubber anti-slip","249","","18","42x42x4","In-house","","insulation,base-pad","heathalo-base-pad-10ft","draft","Circular insulated base pad to reduce ground losses and add grip."
"HH-SW-072-10-CH","HeatHalo SoftWrap — 6 ft — Charcoal","Insulation","SoftWrap","HH-SW","HeatHalo","", "6","72","Charcoal","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","599","","20","26x20x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-6ft-charcoal","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-072-10-SA","HeatHalo SoftWrap — 6 ft — Sand","Insulation","SoftWrap","HH-SW","HeatHalo","", "6","72","Sand","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","599","","20","26x20x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-6ft-sand","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-072-10-FO","HeatHalo SoftWrap — 6 ft — Forest","Insulation","SoftWrap","HH-SW","HeatHalo","", "6","72","Forest","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","599","","20","26x20x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-6ft-forest","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-096-10-CH","HeatHalo SoftWrap — 8 ft — Charcoal","Insulation","SoftWrap","HH-SW","HeatHalo","", "8","96","Charcoal","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","799","","28","30x22x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-8ft-charcoal","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-096-10-SA","HeatHalo SoftWrap — 8 ft — Sand","Insulation","SoftWrap","HH-SW","HeatHalo","", "8","96","Sand","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","799","","28","30x22x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-8ft-sand","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-096-10-FO","HeatHalo SoftWrap — 8 ft — Forest","Insulation","SoftWrap","HH-SW","HeatHalo","", "8","96","Forest","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","799","","28","30x22x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-8ft-forest","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-120-10-CH","HeatHalo SoftWrap — 10 ft — Charcoal","Insulation","SoftWrap","HH-SW","HeatHalo","", "10","120","Charcoal","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","999","","36","34x24x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-10ft-charcoal","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-120-10-SA","HeatHalo SoftWrap — 10 ft — Sand","Insulation","SoftWrap","HH-SW","HeatHalo","", "10","120","Sand","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","999","","36","34x24x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-10ft-sand","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-120-10-FO","HeatHalo SoftWrap — 10 ft — Forest","Insulation","SoftWrap","HH-SW","HeatHalo","", "10","120","Forest","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","999","","36","34x24x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-10ft-forest","draft","Fitted closed-cell insulation wrap with marine-grade shell."
